IMAGE,MEDICINE_NAME,GENERIC_NAME
0.png,Aceta,Paracetamol
1.png,Aceta,Paracetamol
2.png,Aceta,Paracetamol
3.png,Aceta,Paracetamol
4.png,Aceta,Paracetamol
5.png,Aceta,Paracetamol
6.png,Aceta,Paracetamol
7.png,Aceta,Paracetamol
8.png,Aceta,Paracetamol
9.png,Aceta,Paracetamol
10.png,Aceta,Paracetamol
11.png,Aceta,Paracetamol
12.png,Aceta,Paracetamol
13.png,Aceta,Paracetamol
14.png,Aceta,Paracetamol
15.png,Aceta,Paracetamol
16.png,Aceta,Paracetamol
17.png,Aceta,Paracetamol
18.png,Aceta,Paracetamol
19.png,Aceta,Paracetamol
20.png,Aceta,Paracetamol
21.png,Aceta,Paracetamol
22.png,Aceta,Paracetamol
23.png,Aceta,Paracetamol
24.png,Aceta,Paracetamol
25.png,Aceta,Paracetamol
26.png,Aceta,Paracetamol
27.png,Aceta,Paracetamol
28.png,Aceta,Paracetamol
29.png,Aceta,Paracetamol
30.png,Aceta,Paracetamol
31.png,Aceta,Paracetamol
32.png,Aceta,Paracetamol
33.png,Aceta,Paracetamol
34.png,Aceta,Paracetamol
35.png,Aceta,Paracetamol
36.png,Aceta,Paracetamol
37.png,Aceta,Paracetamol
38.png,Aceta,Paracetamol
39.png,Aceta,Paracetamol
40.png,Ace,Paracetamol
41.png,Ace,Paracetamol
42.png,Ace,Paracetamol
43.png,Ace,Paracetamol
44.png,Ace,Paracetamol
45.png,Ace,Paracetamol
46.png,Ace,Paracetamol
47.png,Ace,Paracetamol
48.png,Ace,Paracetamol
49.png,Ace,Paracetamol
50.png,Ace,Paracetamol
51.png,Ace,Paracetamol
52.png,Ace,Paracetamol
53.png,Ace,Paracetamol
54.png,Ace,Paracetamol
55.png,Ace,Paracetamol
56.png,Ace,Paracetamol
57.png,Ace,Paracetamol
58.png,Ace,Paracetamol
59.png,Ace,Paracetamol
60.png,Ace,Paracetamol
61.png,Ace,Paracetamol
62.png,Ace,Paracetamol
63.png,Ace,Paracetamol
64.png,Ace,Paracetamol
65.png,Ace,Paracetamol
66.png,Ace,Paracetamol
67.png,Ace,Paracetamol
68.png,Ace,Paracetamol
69.png,Ace,Paracetamol
70.png,Ace,Paracetamol
71.png,Ace,Paracetamol
72.png,Ace,Paracetamol
73.png,Ace,Paracetamol
74.png,Ace,Paracetamol
75.png,Ace,Paracetamol
76.png,Ace,Paracetamol
77.png,Ace,Paracetamol
78.png,Ace,Paracetamol
79.png,Ace,Paracetamol
80.png,Alatrol,Cetirizine Hydrochloride
81.png,Alatrol,Cetirizine Hydrochloride
82.png,Alatrol,Cetirizine Hydrochloride
83.png,Alatrol,Cetirizine Hydrochloride
84.png,Alatrol,Cetirizine Hydrochloride
85.png,Alatrol,Cetirizine Hydrochloride
86.png,Alatrol,Cetirizine Hydrochloride
87.png,Alatrol,Cetirizine Hydrochloride
88.png,Alatrol,Cetirizine Hydrochloride
89.png,Alatrol,Cetirizine Hydrochloride
90.png,Alatrol,Cetirizine Hydrochloride
91.png,Alatrol,Cetirizine Hydrochloride
92.png,Alatrol,Cetirizine Hydrochloride
93.png,Alatrol,Cetirizine Hydrochloride
94.png,Alatrol,Cetirizine Hydrochloride
95.png,Alatrol,Cetirizine Hydrochloride
96.png,Alatrol,Cetirizine Hydrochloride
97.png,Alatrol,Cetirizine Hydrochloride
98.png,Alatrol,Cetirizine Hydrochloride
99.png,Alatrol,Cetirizine Hydrochloride
100.png,Alatrol,Cetirizine Hydrochloride
101.png,Alatrol,Cetirizine Hydrochloride
102.png,Alatrol,Cetirizine Hydrochloride
103.png,Alatrol,Cetirizine Hydrochloride
104.png,Alatrol,Cetirizine Hydrochloride
105.png,Alatrol,Cetirizine Hydrochloride
106.png,Alatrol,Cetirizine Hydrochloride
107.png,Alatrol,Cetirizine Hydrochloride
108.png,Alatrol,Cetirizine Hydrochloride
109.png,Alatrol,Cetirizine Hydrochloride
110.png,Alatrol,Cetirizine Hydrochloride
111.png,Alatrol,Cetirizine Hydrochloride
112.png,Alatrol,Cetirizine Hydrochloride
113.png,Alatrol,Cetirizine Hydrochloride
114.png,Alatrol,Cetirizine Hydrochloride
115.png,Alatrol,Cetirizine Hydrochloride
116.png,Alatrol,Cetirizine Hydrochloride
117.png,Alatrol,Cetirizine Hydrochloride
118.png,Alatrol,Cetirizine Hydrochloride
119.png,Alatrol,Cetirizine Hydrochloride
120.png,Amodis,Metronidazole
121.png,Amodis,Metronidazole
122.png,Amodis,Metronidazole
123.png,Amodis,Metronidazole
124.png,Amodis,Metronidazole
125.png,Amodis,Metronidazole
126.png,Amodis,Metronidazole
127.png,Amodis,Metronidazole
128.png,Amodis,Metronidazole
129.png,Amodis,Metronidazole
130.png,Amodis,Metronidazole
131.png,Amodis,Metronidazole
132.png,Amodis,Metronidazole
133.png,Amodis,Metronidazole
134.png,Amodis,Metronidazole
135.png,Amodis,Metronidazole
136.png,Amodis,Metronidazole
137.png,Amodis,Metronidazole
138.png,Amodis,Metronidazole
139.png,Amodis,Metronidazole
140.png,Amodis,Metronidazole
141.png,Amodis,Metronidazole
142.png,Amodis,Metronidazole
143.png,Amodis,Metronidazole
144.png,Amodis,Metronidazole
145.png,Amodis,Metronidazole
146.png,Amodis,Metronidazole
147.png,Amodis,Metronidazole
148.png,Amodis,Metronidazole
149.png,Amodis,Metronidazole
150.png,Amodis,Metronidazole
151.png,Amodis,Metronidazole
152.png,Amodis,Metronidazole
153.png,Amodis,Metronidazole
154.png,Amodis,Metronidazole
155.png,Amodis,Metronidazole
156.png,Amodis,Metronidazole
157.png,Amodis,Metronidazole
158.png,Amodis,Metronidazole
159.png,Amodis,Metronidazole
160.png,Atrizin,Cetirizine Hydrochloride
161.png,Atrizin,Cetirizine Hydrochloride
162.png,Atrizin,Cetirizine Hydrochloride
163.png,Atrizin,Cetirizine Hydrochloride
164.png,Atrizin,Cetirizine Hydrochloride
165.png,Atrizin,Cetirizine Hydrochloride
166.png,Atrizin,Cetirizine Hydrochloride
167.png,Atrizin,Cetirizine Hydrochloride
168.png,Atrizin,Cetirizine Hydrochloride
169.png,Atrizin,Cetirizine Hydrochloride
170.png,Atrizin,Cetirizine Hydrochloride
171.png,Atrizin,Cetirizine Hydrochloride
172.png,Atrizin,Cetirizine Hydrochloride
173.png,Atrizin,Cetirizine Hydrochloride
174.png,Atrizin,Cetirizine Hydrochloride
175.png,Atrizin,Cetirizine Hydrochloride
176.png,Atrizin,Cetirizine Hydrochloride
177.png,Atrizin,Cetirizine Hydrochloride
178.png,Atrizin,Cetirizine Hydrochloride
179.png,Atrizin,Cetirizine Hydrochloride
180.png,Atrizin,Cetirizine Hydrochloride
181.png,Atrizin,Cetirizine Hydrochloride
182.png,Atrizin,Cetirizine Hydrochloride
183.png,Atrizin,Cetirizine Hydrochloride
184.png,Atrizin,Cetirizine Hydrochloride
185.png,Atrizin,Cetirizine Hydrochloride
186.png,Atrizin,Cetirizine Hydrochloride
187.png,Atrizin,Cetirizine Hydrochloride
188.png,Atrizin,Cetirizine Hydrochloride
189.png,Atrizin,Cetirizine Hydrochloride
190.png,Atrizin,Cetirizine Hydrochloride
191.png,Atrizin,Cetirizine Hydrochloride
192.png,Atrizin,Cetirizine Hydrochloride
193.png,Atrizin,Cetirizine Hydrochloride
194.png,Atrizin,Cetirizine Hydrochloride
195.png,Atrizin,Cetirizine Hydrochloride
196.png,Atrizin,Cetirizine Hydrochloride
197.png,Atrizin,Cetirizine Hydrochloride
198.png,Atrizin,Cetirizine Hydrochloride
199.png,Atrizin,Cetirizine Hydrochloride
200.png,Axodin,Fexofenadine Hydrochloride
201.png,Axodin,Fexofenadine Hydrochloride
202.png,Axodin,Fexofenadine Hydrochloride
203.png,Axodin,Fexofenadine Hydrochloride
204.png,Axodin,Fexofenadine Hydrochloride
205.png,Axodin,Fexofenadine Hydrochloride
206.png,Axodin,Fexofenadine Hydrochloride
207.png,Axodin,Fexofenadine Hydrochloride
208.png,Axodin,Fexofenadine Hydrochloride
209.png,Axodin,Fexofenadine Hydrochloride
210.png,Axodin,Fexofenadine Hydrochloride
211.png,Axodin,Fexofenadine Hydrochloride
212.png,Axodin,Fexofenadine Hydrochloride
213.png,Axodin,Fexofenadine Hydrochloride
214.png,Axodin,Fexofenadine Hydrochloride
215.png,Axodin,Fexofenadine Hydrochloride
216.png,Axodin,Fexofenadine Hydrochloride
217.png,Axodin,Fexofenadine Hydrochloride
218.png,Axodin,Fexofenadine Hydrochloride
219.png,Axodin,Fexofenadine Hydrochloride
220.png,Axodin,Fexofenadine Hydrochloride
221.png,Axodin,Fexofenadine Hydrochloride
222.png,Axodin,Fexofenadine Hydrochloride
223.png,Axodin,Fexofenadine Hydrochloride
224.png,Axodin,Fexofenadine Hydrochloride
225.png,Axodin,Fexofenadine Hydrochloride
226.png,Axodin,Fexofenadine Hydrochloride
227.png,Axodin,Fexofenadine Hydrochloride
228.png,Axodin,Fexofenadine Hydrochloride
229.png,Axodin,Fexofenadine Hydrochloride
230.png,Axodin,Fexofenadine Hydrochloride
231.png,Axodin,Fexofenadine Hydrochloride
