image_path,IMAGE,MEDICINE_NAME,GENERIC_NAME,source,source_split,raw_text,match_method,match_score,label
D:\ediprjcursor\data\datasetHand\Training\training_words\1709.png,1709.png,Leptic,Clonazepam,datasetHand,training,,,,42
D:\ediprjcursor\data\datasetHand\Training\training_words\2597.png,2597.png,Provair,Montelukast Sodium,datasetHand,training,,,,64
D:\ediprjcursor\data\datasetHand\Training\training_words\2752.png,2752.png,Rivotril,Clonazepam,datasetHand,training,,,,68
D:\ediprjcursor\data\datasetHand\Training\training_words\2319.png,2319.png,Nexum,Esomeprazole,datasetHand,training,,,,57
D:\ediprjcursor\data\datasetHand\Training\training_words\1931.png,1931.png,Metro,Metronidazole,datasetHand,training,,,,48
D:\ediprjcursor\data\datasetHand\Training\training_words\2993.png,2993.png,Tridosil,Azithromycin Dihydrate,datasetHand,training,,,,74
D:\ediprjcursor\data\datasetHand\Training\training_words\20.png,20.png,Aceta,Paracetamol,datasetHand,training,,,,1
D:\ediprjcursor\data\datasetHand\Training\training_words\1932.png,1932.png,Metro,Metronidazole,datasetHand,training,,,,48
D:\ediprjcursor\data\datasetHand\Training\training_words\3026.png,3026.png,Trilock,Montelukast Sodium,datasetHand,training,,,,75
D:\ediprjcursor\data\datasetHand\Training\training_words\2388.png,2388.png,Nizoder,Ketoconazole (Cream),datasetHand,training,,,,59
D:\ediprjcursor\data\datasetHand\Training\training_words\1302.png,1302.png,Filmet,Metronidazole,datasetHand,training,,,,32
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P5377.jpg,P5377.jpg,Filmet,Metronidazole,RxHandBD-ML,train,filmet,exact_clean,100.0,32
D:\ediprjcursor\data\datasetHand\Training\training_words\3076.png,3076.png,Vifas,Fexofenadine Hydrochloride,datasetHand,training,,,,76
D:\ediprjcursor\data\datasetHand\Training\training_words\675.png,675.png,Canazole,Fluconazole,datasetHand,training,,,,16
D:\ediprjcursor\data\datasetHand\Training\training_words\1432.png,1432.png,Flexibac,Baclofen,datasetHand,training,,,,35
D:\ediprjcursor\data\datasetHand\Training\training_words\651.png,651.png,Canazole,Fluconazole,datasetHand,training,,,,16
D:\ediprjcursor\data\datasetHand\Training\training_words\113.png,113.png,Alatrol,Cetirizine Hydrochloride,datasetHand,training,,,,2
D:\ediprjcursor\data\datasetHand\Training\training_words\2899.png,2899.png,Tamen,Paracetamol,datasetHand,training,,,,72
D:\ediprjcursor\data\datasetHand\Training\training_words\2446.png,2446.png,Omastin,Fluconazole,datasetHand,training,,,,61
D:\ediprjcursor\data\datasetHand\Training\training_words\78.png,78.png,Ace,Paracetamol,datasetHand,training,,,,0
D:\ediprjcursor\data\datasetHand\Training\training_words\1419.png,1419.png,Flexibac,Baclofen,datasetHand,training,,,,35
D:\ediprjcursor\data\datasetHand\Training\training_words\1356.png,1356.png,Fixal,Fexofenadine Hydrochloride,datasetHand,training,,,,33
D:\ediprjcursor\data\datasetHand\Training\training_words\856.png,856.png,Denixil,Clonazepam,datasetHand,training,,,,21
D:\ediprjcursor\data\datasetHand\Training\training_words\2632.png,2632.png,Renova,Paracetamol,datasetHand,training,,,,65
D:\ediprjcursor\data\datasetHand\Training\training_words\1390.png,1390.png,Flamyd,Metronidazole,datasetHand,training,,,,34
D:\ediprjcursor\data\datasetHand\Training\training_words\638.png,638.png,Bicozin,Vitamin B Complex + Zinc,datasetHand,training,,,,15
D:\ediprjcursor\data\datasetHand\Training\training_words\385.png,385.png,Bacaid,Baclofen,datasetHand,training,,,,9
D:\ediprjcursor\data\datasetHand\Training\training_words\2475.png,2475.png,Omastin,Fluconazole,datasetHand,training,,,,61
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P3666.jpg,P3666.jpg,Fexo,Fexofenadine Hydrochloride,RxHandBD-ML,train,Fexo,exact_clean,100.0,30
D:\ediprjcursor\data\datasetHand\Training\training_words\2664.png,2664.png,Rhinil,Cetirizine Hydrochloride,datasetHand,training,,,,66
D:\ediprjcursor\data\datasetHand\Training\training_words\2602.png,2602.png,Renova,Paracetamol,datasetHand,training,,,,65
D:\ediprjcursor\data\datasetHand\Training\training_words\1304.png,1304.png,Filmet,Metronidazole,datasetHand,training,,,,32
D:\ediprjcursor\data\datasetHand\Training\training_words\2658.png,2658.png,Rhinil,Cetirizine Hydrochloride,datasetHand,training,,,,66
D:\ediprjcursor\data\datasetHand\Training\training_words\1690.png,1690.png,Leptic,Clonazepam,datasetHand,training,,,,42
D:\ediprjcursor\data\datasetHand\Training\training_words\2572.png,2572.png,Provair,Montelukast Sodium,datasetHand,training,,,,64
D:\ediprjcursor\data\datasetHand\Training\training_words\277.png,277.png,Azithrocin,Azithromycin Dihydrate,datasetHand,training,,,,7
D:\ediprjcursor\data\datasetHand\Training\training_words\1033.png,1033.png,Esonix,Esomeprazole,datasetHand,training,,,,25
D:\ediprjcursor\data\datasetHand\Training\training_words\2267.png,2267.png,Nexcap,Esomeprazole,datasetHand,training,,,,56
D:\ediprjcursor\data\datasetHand\Training\training_words\2204.png,2204.png,Napa,Paracetamol,datasetHand,training,,,,54
D:\ediprjcursor\data\datasetHand\Training\training_words\714.png,714.png,Candinil,Fluconazole,datasetHand,training,,,,17
D:\ediprjcursor\data\datasetHand\Training\training_words\2451.png,2451.png,Omastin,Fluconazole,datasetHand,training,,,,61
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P3797.jpg,P3797.jpg,Napa Extend,Paracetamol,RxHandBD-ML,train,Napa,exact_clean,100.0,55
D:\ediprjcursor\data\datasetHand\Training\training_words\1295.png,1295.png,Filmet,Metronidazole,datasetHand,training,,,,32
D:\ediprjcursor\data\datasetHand\Training\training_words\240.png,240.png,Azithrocin,Azithromycin Dihydrate,datasetHand,training,,,,7
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P2894.jpg,P2894.jpg,Flugal,Fluconazole,RxHandBD-ML,train,Flugal,exact_clean,100.0,37
D:\ediprjcursor\data\datasetHand\Training\training_words\454.png,454.png,Baclofen,Baclofen,datasetHand,training,,,,11
D:\ediprjcursor\data\datasetHand\Training\training_words\617.png,617.png,Bicozin,Vitamin B Complex + Zinc,datasetHand,training,,,,15
