,precision,recall,f1-score,support
Ace,0.3076923076923077,1.0,0.47058823529411764,4.0
Aceta,0.0,0.0,0.0,4.0
Alatrol,1.0,0.5,0.6666666666666666,4.0
Amodis,0.3333333333333333,0.25,0.2857142857142857,4.0
Atrizin,0.6,0.75,0.6666666666666666,4.0
Axodin,0.75,0.75,0.75,4.0
Az,0.8,1.0,0.8888888888888888,4.0
Azithrocin,1.0,0.25,0.4,4.0
Azyth,0.0,0.0,0.0,4.0
Bacaid,0.0,0.0,0.0,4.0
Backtone,0.0,0.0,0.0,4.0
Baclofen,0.0,0.0,0.0,4.0
Baclon,1.0,0.75,0.8571428571428571,4.0
Bacmax,0.3333333333333333,0.5,0.4,4.0
Beklo,1.0,0.6,0.75,5.0
Bicozin,0.75,0.75,0.75,4.0
Canazole,0.75,0.75,0.75,4.0
Candinil,1.0,0.25,0.4,4.0
Cetisoft,0.0,0.0,0.0,4.0
Conaz,0.3333333333333333,0.5,0.4,4.0
Dancel,1.0,0.5,0.6666666666666666,4.0
Denixil,0.5,0.5,0.5,4.0
Diflu,0.4444444444444444,1.0,0.6153846153846154,4.0
Dinafex,0.0,0.0,0.0,4.0
Disopan,1.0,0.75,0.8571428571428571,4.0
Esonix,0.2,0.25,0.2222222222222222,4.0
Esoral,0.14285714285714285,0.25,0.18181818181818182,4.0
Etizin,0.4444444444444444,1.0,0.6153846153846154,4.0
Exium,0.4444444444444444,1.0,0.6153846153846154,4.0
Fenadin,0.0,0.0,0.0,4.0
Fexo,0.36363636363636365,0.6666666666666666,0.47058823529411764,6.0
Fexofast,1.0,0.2,0.3333333333333333,5.0
Filmet,0.6666666666666666,0.4,0.5,5.0
Fixal,0.25,0.25,0.25,4.0
Flamyd,0.5,0.25,0.3333333333333333,4.0
Flexibac,1.0,0.25,0.4,4.0
Flexilax,0.21052631578947367,1.0,0.34782608695652173,4.0
Flugal,0.4,0.3333333333333333,0.36363636363636365,6.0
Ketocon,1.0,0.25,0.4,4.0
Ketoral,0.75,0.75,0.75,4.0
Ketotab,0.75,0.75,0.75,4.0
Ketozol,0.0,0.0,0.0,4.0
Leptic,0.0,0.0,0.0,4.0
Lucan-R,0.6,0.75,0.6666666666666666,4.0
Lumona,0.4,0.5,0.4444444444444444,4.0
M-Kast,1.0,0.5,0.6666666666666666,4.0
Maxima,0.36363636363636365,0.8,0.5,5.0
Maxpro,0.1,0.16666666666666666,0.125,6.0
Metro,0.6666666666666666,0.4,0.5,5.0
Metsina,0.0,0.0,0.0,4.0
Monas,0.2,0.3333333333333333,0.25,6.0
Montair,1.0,0.25,0.4,4.0
Montene,0.0,0.0,0.0,6.0
Montex,1.0,0.5,0.6666666666666666,4.0
Napa,1.0,0.5,0.6666666666666666,4.0
Napa Extend,0.5142857142857142,1.0,0.6792452830188679,18.0
Nexcap,0.5,0.5,0.5,4.0
Nexum,0.38461538461538464,0.625,0.47619047619047616,8.0
Nidazyl,1.0,0.25,0.4,4.0
Nizoder,0.5,0.25,0.3333333333333333,4.0
Odmon,0.5,0.25,0.3333333333333333,4.0
Omastin,0.0,0.0,0.0,4.0
Opton,1.0,0.5,0.6666666666666666,4.0
Progut,0.0,0.0,0.0,4.0
Provair,0.25,0.5,0.3333333333333333,4.0
Renova,0.0,0.0,0.0,5.0
Rhinil,0.5,0.75,0.6,4.0
Ritch,0.0,0.0,0.0,4.0
Rivotril,0.0,0.0,0.0,5.0
Romycin,1.0,0.25,0.4,4.0
Rozith,0.375,0.75,0.5,4.0
Sergel,1.0,0.4,0.5714285714285714,5.0
Tamen,1.0,0.75,0.8571428571428571,4.0
Telfast,1.0,0.25,0.4,4.0
Tridosil,0.5,0.75,0.6,4.0
Trilock,0.5714285714285714,1.0,0.7272727272727273,4.0
Vifas,1.0,0.25,0.4,4.0
Zithrin,0.6666666666666666,0.5,0.5714285714285714,4.0
accuracy,0.4454022988505747,0.4454022988505747,0.4454022988505747,0.4454022988505747
macro avg,0.5079104038112136,0.4253205128205128,0.4082548075793689,348.0
weighted avg,0.5000883619304671,0.4454022988505747,0.4148359394667011,348.0
