,precision,recall,f1-score,support
Ace,0.5714285714285714,1.0,0.7272727272727273,4.0
Aceta,0.75,0.75,0.75,4.0
Alatrol,0.6666666666666666,0.5,0.5714285714285714,4.0
Amodis,0.6666666666666666,0.5,0.5714285714285714,4.0
Atrizin,0.8,1.0,0.8888888888888888,4.0
Axodin,0.6,0.75,0.6666666666666666,4.0
Az,1.0,1.0,1.0,4.0
Azithrocin,0.5,0.25,0.3333333333333333,4.0
Azyth,1.0,1.0,1.0,4.0
Bacaid,0.0,0.0,0.0,4.0
Backtone,0.0,0.0,0.0,4.0
Baclofen,0.6666666666666666,0.5,0.5714285714285714,4.0
Baclon,0.6666666666666666,0.5,0.5714285714285714,4.0
Bacmax,0.5,0.5,0.5,4.0
Beklo,1.0,0.8,0.8888888888888888,5.0
Bicozin,1.0,0.75,0.8571428571428571,4.0
Canazole,1.0,0.75,0.8571428571428571,4.0
Candinil,1.0,0.25,0.4,4.0
Cetisoft,0.0,0.0,0.0,4.0
Conaz,1.0,0.5,0.6666666666666666,4.0
Dancel,1.0,0.5,0.6666666666666666,4.0
Denixil,1.0,0.5,0.6666666666666666,4.0
Diflu,0.6,0.75,0.6666666666666666,4.0
Dinafex,0.0,0.0,0.0,4.0
Disopan,1.0,0.75,0.8571428571428571,4.0
Esonix,0.25,0.25,0.25,4.0
Esoral,0.3333333333333333,0.25,0.2857142857142857,4.0
Etizin,0.4,0.5,0.4444444444444444,4.0
Exium,1.0,0.75,0.8571428571428571,4.0
Fenadin,0.1111111111111111,0.25,0.15384615384615385,4.0
Fexo,0.5,0.6666666666666666,0.5714285714285714,6.0
Fexofast,1.0,0.2,0.3333333333333333,5.0
Filmet,0.75,0.6,0.6666666666666666,5.0
Fixal,0.5,0.25,0.3333333333333333,4.0
Flamyd,0.5,0.5,0.5,4.0
Flexibac,0.5,0.25,0.3333333333333333,4.0
Flexilax,0.25,1.0,0.4,4.0
Flugal,0.5,0.5,0.5,6.0
Ketocon,0.6666666666666666,0.5,0.5714285714285714,4.0
Ketoral,0.75,0.75,0.75,4.0
Ketotab,1.0,0.5,0.6666666666666666,4.0
Ketozol,0.0,0.0,0.0,4.0
Leptic,1.0,0.25,0.4,4.0
Lucan-R,0.75,0.75,0.75,4.0
Lumona,1.0,0.5,0.6666666666666666,4.0
M-Kast,0.6,0.75,0.6666666666666666,4.0
Maxima,0.3333333333333333,0.8,0.47058823529411764,5.0
Maxpro,0.15384615384615385,0.3333333333333333,0.21052631578947367,6.0
Metro,0.75,0.6,0.6666666666666666,5.0
Metsina,0.0,0.0,0.0,4.0
Monas,0.3,0.5,0.375,6.0
Montair,0.0,0.0,0.0,4.0
Montene,1.0,0.16666666666666666,0.2857142857142857,6.0
Montex,1.0,0.5,0.6666666666666666,4.0
Napa,0.6,0.75,0.6666666666666666,4.0
Napa Extend,0.6296296296296297,0.9444444444444444,0.7555555555555555,18.0
Nexcap,0.6666666666666666,0.5,0.5714285714285714,4.0
Nexum,0.38461538461538464,0.625,0.47619047619047616,8.0
Nidazyl,0.5,0.25,0.3333333333333333,4.0
Nizoder,0.25,0.25,0.25,4.0
Odmon,0.5,0.25,0.3333333333333333,4.0
Omastin,1.0,0.25,0.4,4.0
Opton,0.6666666666666666,0.5,0.5714285714285714,4.0
Progut,0.0,0.0,0.0,4.0
Provair,0.2,0.5,0.2857142857142857,4.0
Renova,0.0,0.0,0.0,5.0
Rhinil,0.42857142857142855,0.75,0.5454545454545454,4.0
Ritch,0.1111111111111111,0.25,0.15384615384615385,4.0
Rivotril,0.25,0.2,0.2222222222222222,5.0
Romycin,0.4,0.5,0.4444444444444444,4.0
Rozith,0.3333333333333333,0.75,0.46153846153846156,4.0
Sergel,0.5714285714285714,0.8,0.6666666666666666,5.0
Tamen,1.0,0.75,0.8571428571428571,4.0
Telfast,0.5,0.5,0.5,4.0
Tridosil,0.5,0.75,0.6,4.0
Trilock,0.4444444444444444,1.0,0.6153846153846154,4.0
Vifas,0.6666666666666666,0.5,0.5714285714285714,4.0
Zithrin,0.6666666666666666,0.5,0.5714285714285714,4.0
accuracy,0.514367816091954,0.514367816091954,0.514367816091954,0.514367816091954
macro avg,0.5661049539254666,0.49661680911680917,0.49112694426757286,348.0
weighted avg,0.564771483305966,0.514367816091954,0.49860493482651047,348.0
