,precision,recall,f1-score,support
Ace,1.0,1.0,1.0,4.0
Aceta,1.0,1.0,1.0,4.0
Alatrol,1.0,0.5,0.6666666666666666,4.0
Amodis,1.0,0.5,0.6666666666666666,4.0
Atrizin,1.0,0.75,0.8571428571428571,4.0
Axodin,1.0,0.75,0.8571428571428571,4.0
Az,0.8,1.0,0.8888888888888888,4.0
Azithrocin,1.0,0.25,0.4,4.0
Azyth,1.0,1.0,1.0,4.0
Bacaid,1.0,1.0,1.0,4.0
Backtone,1.0,0.75,0.8571428571428571,4.0
Baclofen,1.0,1.0,1.0,4.0
Baclon,1.0,0.75,0.8571428571428571,4.0
Bacmax,0.6666666666666666,0.5,0.5714285714285714,4.0
Beklo,0.8,0.8,0.8,5.0
Bicozin,0.8,1.0,0.8888888888888888,4.0
Canazole,1.0,0.75,0.8571428571428571,4.0
Candinil,1.0,1.0,1.0,4.0
Cetisoft,1.0,1.0,1.0,4.0
Conaz,1.0,0.75,0.8571428571428571,4.0
Dancel,1.0,0.75,0.8571428571428571,4.0
Denixil,0.8,1.0,0.8888888888888888,4.0
Diflu,1.0,1.0,1.0,4.0
Dinafex,1.0,0.75,0.8571428571428571,4.0
Disopan,1.0,0.75,0.8571428571428571,4.0
Esonix,1.0,0.75,0.8571428571428571,4.0
Esoral,1.0,0.5,0.6666666666666666,4.0
Etizin,1.0,1.0,1.0,4.0
Exium,0.8,1.0,0.8888888888888888,4.0
Fenadin,1.0,1.0,1.0,4.0
Fexo,0.8571428571428571,1.0,0.9230769230769231,6.0
Fexofast,0.8333333333333334,1.0,0.9090909090909091,5.0
Filmet,1.0,0.8,0.8888888888888888,5.0
Fixal,0.6,0.75,0.6666666666666666,4.0
Flamyd,1.0,1.0,1.0,4.0
Flexibac,1.0,0.75,0.8571428571428571,4.0
Flexilax,0.3076923076923077,1.0,0.47058823529411764,4.0
Flugal,0.75,1.0,0.8571428571428571,6.0
Ketocon,0.8,1.0,0.8888888888888888,4.0
Ketoral,1.0,1.0,1.0,4.0
Ketotab,1.0,1.0,1.0,4.0
Ketozol,1.0,0.75,0.8571428571428571,4.0
Leptic,0.8,1.0,0.8888888888888888,4.0
Lucan-R,1.0,1.0,1.0,4.0
Lumona,0.8,1.0,0.8888888888888888,4.0
M-Kast,1.0,0.5,0.6666666666666666,4.0
Maxima,1.0,0.8,0.8888888888888888,5.0
Maxpro,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0
Metro,1.0,0.8,0.8888888888888888,5.0
Metsina,1.0,0.25,0.4,4.0
Monas,0.8,0.6666666666666666,0.7272727272727273,6.0
Montair,0.75,0.75,0.75,4.0
Montene,0.75,1.0,0.8571428571428571,6.0
Montex,0.6666666666666666,0.5,0.5714285714285714,4.0
Napa,1.0,1.0,1.0,4.0
Napa Extend,0.6538461538461539,0.9444444444444444,0.7727272727272727,18.0
Nexcap,1.0,0.75,0.8571428571428571,4.0
Nexum,0.8888888888888888,1.0,0.9411764705882353,8.0
Nidazyl,1.0,0.75,0.8571428571428571,4.0
Nizoder,1.0,1.0,1.0,4.0
Odmon,1.0,1.0,1.0,4.0
Omastin,0.75,0.75,0.75,4.0
Opton,0.6,0.75,0.6666666666666666,4.0
Progut,0.6,0.75,0.6666666666666666,4.0
Provair,0.8,1.0,0.8888888888888888,4.0
Renova,1.0,0.6,0.75,5.0
Rhinil,1.0,1.0,1.0,4.0
Ritch,0.6666666666666666,1.0,0.8,4.0
Rivotril,1.0,0.8,0.8888888888888888,5.0
Romycin,1.0,0.5,0.6666666666666666,4.0
Rozith,0.75,0.75,0.75,4.0
Sergel,1.0,0.8,0.8888888888888888,5.0
Tamen,1.0,1.0,1.0,4.0
Telfast,1.0,0.75,0.8571428571428571,4.0
Tridosil,1.0,0.75,0.8571428571428571,4.0
Trilock,0.8,1.0,0.8888888888888888,4.0
Vifas,0.6666666666666666,1.0,0.8,4.0
Zithrin,1.0,0.75,0.8571428571428571,4.0
accuracy,0.8390804597701149,0.8390804597701149,0.8390804597701149,0.8390804597701149
macro avg,0.8974617263078801,0.8324074074074074,0.8420976292017016,348.0
weighted avg,0.8837757708447364,0.8390804597701149,0.8391287952900529,348.0
