,precision,recall,f1-score,support
Ace,0.8,1.0,0.8888888888888888,4.0
Aceta,1.0,0.75,0.8571428571428571,4.0
Alatrol,1.0,0.5,0.6666666666666666,4.0
Amodis,1.0,0.25,0.4,4.0
Atrizin,0.5714285714285714,1.0,0.7272727272727273,4.0
Axodin,1.0,0.75,0.8571428571428571,4.0
Az,1.0,1.0,1.0,4.0
Azithrocin,1.0,0.5,0.6666666666666666,4.0
Azyth,0.8,1.0,0.8888888888888888,4.0
Bacaid,0.0,0.0,0.0,4.0
Backtone,0.5,0.25,0.3333333333333333,4.0
Baclofen,0.0,0.0,0.0,4.0
Baclon,0.5714285714285714,1.0,0.7272727272727273,4.0
Bacmax,0.5,0.5,0.5,4.0
Beklo,1.0,0.8,0.8888888888888888,5.0
Bicozin,0.75,0.75,0.75,4.0
Canazole,1.0,0.75,0.8571428571428571,4.0
Candinil,1.0,0.75,0.8571428571428571,4.0
Cetisoft,1.0,0.25,0.4,4.0
Conaz,0.5,0.75,0.6,4.0
Dancel,0.75,0.75,0.75,4.0
Denixil,1.0,0.75,0.8571428571428571,4.0
Diflu,0.42857142857142855,0.75,0.5454545454545454,4.0
Dinafex,0.0,0.0,0.0,4.0
Disopan,1.0,0.75,0.8571428571428571,4.0
Esonix,0.2857142857142857,0.5,0.36363636363636365,4.0
Esoral,0.5,0.25,0.3333333333333333,4.0
Etizin,0.5714285714285714,1.0,0.7272727272727273,4.0
Exium,0.6666666666666666,0.5,0.5714285714285714,4.0
Fenadin,0.0,0.0,0.0,4.0
Fexo,0.5,1.0,0.6666666666666666,6.0
Fexofast,0.75,0.6,0.6666666666666666,5.0
Filmet,0.8,0.8,0.8,5.0
Fixal,0.6,0.75,0.6666666666666666,4.0
Flamyd,0.6666666666666666,0.5,0.5714285714285714,4.0
Flexibac,0.5,0.75,0.6,4.0
Flexilax,0.23529411764705882,1.0,0.38095238095238093,4.0
Flugal,0.75,0.5,0.6,6.0
Ketocon,0.5,0.5,0.5,4.0
Ketoral,0.6,0.75,0.6666666666666666,4.0
Ketotab,1.0,0.5,0.6666666666666666,4.0
Ketozol,1.0,0.25,0.4,4.0
Leptic,0.75,0.75,0.75,4.0
Lucan-R,0.6,0.75,0.6666666666666666,4.0
Lumona,1.0,0.75,0.8571428571428571,4.0
M-Kast,0.5,0.5,0.5,4.0
Maxima,0.6666666666666666,0.8,0.7272727272727273,5.0
Maxpro,0.25,0.6666666666666666,0.36363636363636365,6.0
Metro,0.75,0.6,0.6666666666666666,5.0
Metsina,0.3333333333333333,0.25,0.2857142857142857,4.0
Monas,0.8,0.6666666666666666,0.7272727272727273,6.0
Montair,0.2,0.25,0.2222222222222222,4.0
Montene,1.0,0.3333333333333333,0.5,6.0
Montex,1.0,0.5,0.6666666666666666,4.0
Napa,0.5714285714285714,1.0,0.7272727272727273,4.0
Napa Extend,0.625,0.8333333333333334,0.7142857142857143,18.0
Nexcap,1.0,0.5,0.6666666666666666,4.0
Nexum,0.75,0.75,0.75,8.0
Nidazyl,0.3333333333333333,0.5,0.4,4.0
Nizoder,1.0,0.25,0.4,4.0
Odmon,0.3333333333333333,0.5,0.4,4.0
Omastin,0.6,0.75,0.6666666666666666,4.0
Opton,1.0,0.75,0.8571428571428571,4.0
Progut,0.75,0.75,0.75,4.0
Provair,0.6666666666666666,0.5,0.5714285714285714,4.0
Renova,0.0,0.0,0.0,5.0
Rhinil,0.5,0.75,0.6,4.0
Ritch,0.5,0.75,0.6,4.0
Rivotril,0.6666666666666666,0.4,0.5,5.0
Romycin,0.3333333333333333,0.25,0.2857142857142857,4.0
Rozith,0.75,0.75,0.75,4.0
Sergel,0.75,0.6,0.6666666666666666,5.0
Tamen,1.0,0.75,0.8571428571428571,4.0
Telfast,0.0,0.0,0.0,4.0
Tridosil,0.6,0.75,0.6666666666666666,4.0
Trilock,0.8,1.0,0.8888888888888888,4.0
Vifas,1.0,0.75,0.8571428571428571,4.0
Zithrin,1.0,0.5,0.6666666666666666,4.0
accuracy,0.6120689655172413,0.6120689655172413,0.6120689655172413,0.6120689655172413
macro avg,0.6599610356963298,0.6006410256410256,0.5927331927331926,348.0
weighted avg,0.6598884381338742,0.6120689655172413,0.5993220381151414,348.0
