,precision,recall,f1-score,support
Ace,0.6,0.75,0.6666666666666666,4.0
Aceta,1.0,0.25,0.4,4.0
Alatrol,1.0,0.5,0.6666666666666666,4.0
Amodis,1.0,0.25,0.4,4.0
Atrizin,0.6666666666666666,1.0,0.8,4.0
Axodin,1.0,0.75,0.8571428571428571,4.0
Az,0.6666666666666666,1.0,0.8,4.0
Azithrocin,0.75,0.75,0.75,4.0
Azyth,1.0,1.0,1.0,4.0
Bacaid,0.0,0.0,0.0,4.0
Backtone,0.4,0.5,0.4444444444444444,4.0
Baclofen,0.0,0.0,0.0,4.0
Baclon,0.75,0.75,0.75,4.0
Bacmax,0.3333333333333333,0.75,0.46153846153846156,4.0
Beklo,1.0,0.6,0.75,5.0
Bicozin,0.75,0.75,0.75,4.0
Canazole,1.0,0.75,0.8571428571428571,4.0
Candinil,1.0,0.25,0.4,4.0
Cetisoft,0.25,0.25,0.25,4.0
Conaz,0.75,0.75,0.75,4.0
Dancel,1.0,0.5,0.6666666666666666,4.0
Denixil,1.0,0.75,0.8571428571428571,4.0
Diflu,0.3333333333333333,0.75,0.46153846153846156,4.0
Dinafex,0.0,0.0,0.0,4.0
Disopan,1.0,0.75,0.8571428571428571,4.0
Esonix,0.2,0.5,0.2857142857142857,4.0
Esoral,1.0,0.25,0.4,4.0
Etizin,0.36363636363636365,1.0,0.5333333333333333,4.0
Exium,0.4,1.0,0.5714285714285714,4.0
Fenadin,0.25,0.25,0.25,4.0
Fexo,0.2608695652173913,1.0,0.41379310344827586,6.0
Fexofast,1.0,0.2,0.3333333333333333,5.0
Filmet,0.8,0.8,0.8,5.0
Fixal,0.5,0.5,0.5,4.0
Flamyd,0.6666666666666666,0.5,0.5714285714285714,4.0
Flexibac,1.0,0.75,0.8571428571428571,4.0
Flexilax,0.25,1.0,0.4,4.0
Flugal,1.0,0.6666666666666666,0.8,6.0
Ketocon,0.5,0.5,0.5,4.0
Ketoral,1.0,0.75,0.8571428571428571,4.0
Ketotab,1.0,0.5,0.6666666666666666,4.0
Ketozol,1.0,0.25,0.4,4.0
Leptic,0.5,0.5,0.5,4.0
Lucan-R,0.75,0.75,0.75,4.0
Lumona,1.0,0.75,0.8571428571428571,4.0
M-Kast,0.6666666666666666,0.5,0.5714285714285714,4.0
Maxima,0.4444444444444444,0.8,0.5714285714285714,5.0
Maxpro,0.25,0.3333333333333333,0.2857142857142857,6.0
Metro,1.0,0.6,0.75,5.0
Metsina,0.5,0.25,0.3333333333333333,4.0
Monas,0.6,0.5,0.5454545454545454,6.0
Montair,0.5,0.25,0.3333333333333333,4.0
Montene,0.75,0.5,0.6,6.0
Montex,0.6666666666666666,0.5,0.5714285714285714,4.0
Napa,0.75,0.75,0.75,4.0
Napa Extend,0.48484848484848486,0.8888888888888888,0.6274509803921569,18.0
Nexcap,1.0,0.5,0.6666666666666666,4.0
Nexum,0.5,0.625,0.5555555555555556,8.0
Nidazyl,0.6666666666666666,0.5,0.5714285714285714,4.0
Nizoder,0.0,0.0,0.0,4.0
Odmon,0.25,0.25,0.25,4.0
Omastin,0.4,0.5,0.4444444444444444,4.0
Opton,0.6666666666666666,0.5,0.5714285714285714,4.0
Progut,0.6666666666666666,0.5,0.5714285714285714,4.0
Provair,0.0,0.0,0.0,4.0
Renova,0.0,0.0,0.0,5.0
Rhinil,0.6,0.75,0.6666666666666666,4.0
Ritch,0.4,0.5,0.4444444444444444,4.0
Rivotril,0.3333333333333333,0.2,0.25,5.0
Romycin,0.5,0.25,0.3333333333333333,4.0
Rozith,1.0,0.75,0.8571428571428571,4.0
Sergel,0.75,0.6,0.6666666666666666,5.0
Tamen,1.0,1.0,1.0,4.0
Telfast,0.0,0.0,0.0,4.0
Tridosil,0.5,0.25,0.3333333333333333,4.0
Trilock,0.75,0.75,0.75,4.0
Vifas,1.0,0.75,0.8571428571428571,4.0
Zithrin,1.0,0.5,0.6666666666666666,4.0
accuracy,0.5574712643678161,0.5574712643678161,0.5574712643678161,0.5574712643678161
macro avg,0.6318863101471798,0.542485754985755,0.541527443996628,348.0
weighted avg,0.6235227714425616,0.5574712643678161,0.5441794566532273,348.0
