brand_name,generic_name,mapping_status
Ace,Paracetamol,VERIFIED
Aceta,Paracetamol,VERIFIED
Alatrol,Cetirizine Hydrochloride,VERIFIED
Amodis,Metronidazole,VERIFIED
Atrizin,Cetirizine Hydrochloride,VERIFIED
Axodin,Fexofenadine Hydrochloride,VERIFIED
Az,Azithromycin Dihydrate,VERIFIED
Azithrocin,Azithromycin Dihydrate,VERIFIED
Azyth,Azithromycin Dihydrate,VERIFIED
Bacaid,Baclofen,VERIFIED
Backtone,Baclofen,VERIFIED
Baclofen,Baclofen,VERIFIED
Baclon,Baclofen,VERIFIED
Bacmax,Baclofen,VERIFIED
Beklo,Baclofen,VERIFIED
Bicozin,Vitamin B Complex + Zinc,VERIFIED
Canazole,Fluconazole,VERIFIED
Candinil,Fluconazole,VERIFIED
Cetisoft,Cetirizine Hydrochloride,VERIFIED
Conaz,Fluconazole,VERIFIED
Dancel,Ketoconazole (Shampoo),VERIFIED
Denixil,Clonazepam,VERIFIED
Diflu,Fluconazole,VERIFIED
Dinafex,Fexofenadine Hydrochloride,VERIFIED
Disopan,Clonazepam,VERIFIED
Esonix,Esomeprazole,VERIFIED
Esoral,Esomeprazole,VERIFIED
Etizin,Cetirizine Hydrochloride,VERIFIED
Exium,Esomeprazole,VERIFIED
Fenadin,Fexofenadine Hydrochloride,VERIFIED
Fexo,Fexofenadine Hydrochloride,VERIFIED
Fexofast,Fexofenadine Hydrochloride,VERIFIED
Filmet,Metronidazole,VERIFIED
Fixal,Fexofenadine Hydrochloride,VERIFIED
Flamyd,Metronidazole,VERIFIED
Flexibac,Baclofen,VERIFIED
Flexilax,Baclofen,VERIFIED
Flugal,Fluconazole,VERIFIED
Ketocon,Ketoconazole (Shampoo),VERIFIED
Ketoral,Ketoconazole (Tablet),VERIFIED
Ketotab,Ketoconazole (Tablet),VERIFIED
Ketozol,Ketoconazole (Shampoo),VERIFIED
Leptic,Clonazepam,VERIFIED
Lucan-R,Fluconazole,VERIFIED
Lumona,Montelukast Sodium,VERIFIED
M-Kast,Montelukast Sodium,VERIFIED
Maxima,Esomeprazole,VERIFIED
Maxpro,Esomeprazole,VERIFIED
Metro,Metronidazole,VERIFIED
Metsina,Metronidazole,VERIFIED
Monas,Montelukast Sodium,VERIFIED
Montair,Montelukast Sodium,VERIFIED
Montene,Montelukast Sodium,VERIFIED
Montex,Montelukast Sodium,VERIFIED
Napa,Paracetamol,VERIFIED
Napa Extend,Paracetamol,VERIFIED
Nexcap,Esomeprazole,VERIFIED
Nexum,Esomeprazole,VERIFIED
Nidazyl,Metronidazole,VERIFIED
Nizoder,Ketoconazole (Cream),VERIFIED
Odmon,Montelukast Sodium,VERIFIED
Omastin,Fluconazole,VERIFIED
Opton,Esomeprazole,VERIFIED
Progut,Esomeprazole,VERIFIED
Provair,Montelukast Sodium,VERIFIED
Renova,Paracetamol,VERIFIED
Rhinil,Cetirizine Hydrochloride,VERIFIED
Ritch,Fexofenadine Hydrochloride,VERIFIED
Rivotril,Clonazepam,VERIFIED
Romycin,Azithromycin Dihydrate (Ophthalmic),VERIFIED
Rozith,Azithromycin Dihydrate,VERIFIED
Sergel,Esomeprazole,VERIFIED
Tamen,Paracetamol,VERIFIED
Telfast,Fexofenadine Hydrochloride,VERIFIED
Tridosil,Azithromycin Dihydrate,VERIFIED
Trilock,Montelukast Sodium,VERIFIED
Vifas,Fexofenadine Hydrochloride,VERIFIED
Zithrin,Azithromycin Dihydrate,VERIFIED
